day,target,article_count,avg_sentiment,total_push,total_boo
2026-08-07,2330,1,0.4224,0,0
2026-08-07,TSM,1,0.4224,0,0
2026-08-25,0050,4,0.5732,369,46
2026-08-25,0056,2,0.5444,102,15
2026-08-25,2330,7,0.5589,394,57
2026-08-25,TSM,1,0.5364,7,1
2026-08-26,0050,10,0.6289,2512,318
2026-08-26,0056,5,0.6182,1101,120
2026-08-26,00878,1,0.577,88,14
2026-08-26,2330,21,0.5737,3133,368
2026-08-26,TSM,5,0.6489,1962,237
2026-08-27,0050,14,0.612,3570,403
2026-08-27,0056,5,0.562,413,34
2026-08-27,00878,2,0.596,224,15
2026-08-27,00919,2,0.596,224,15
2026-08-27,2330,26,0.5735,4004,481
2026-08-27,TSM,4,0.6774,1777,228
