title,date,push,boo,score,targets,url,body,text_sentiment,push_sentiment,combined_sentiment
Re: [新聞] 全國空屋率跌破10%是假象！高雄11.9萬宅,Mon Sep  7 19:02:22 2026,17,0,17,0050,https://www.ptt.cc/bbs/Stock/M.1788778944.A.8F3.html,"作者NovaShin ()看板Stock標題Re: [新聞] 全國空屋率跌破10%是假象！高雄11.9萬宅時間Mon Sep 7 19:02:22 2026 ※ 引述 《Gavatzky》 之銘言： : → atpx : 利率這麼低、之前賺爆的根本沒差，資金成本夠撐10 09/07 17:14 : → atpx : 年 09/07 17:14 當然有差呀 你贏錢不會加碼嗎？ 這波多的是前面賺錢後面加碼 結果搭上車門焊死的落日飛車 拿賺的加碼就算了還增貸質押 尤其2024延續到2025的FOMO 現在根本就是加碼大中計 這波銀行緊縮跟擋撥還看不到盡頭 老實說真的不知道今明兩年要怎麼交屋 後續交屋都是六成 五成 餘屋也禁止貸款了 QQ 好險我先下車了 ㄎㄎ -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.70.124.114 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1788778944.A.8F3.html 推 stanly3092 : 好慘！ 嘻嘻 09/07 19:03 推 tttt0204 : 亂講，房蟲都是高高在上的",-0.5265,0.0235,-0.3065
[情報] 2498 宏達電 115年8月營收,Mon Sep  7 19:22:17 2026,21,1,20,2330,https://www.ptt.cc/bbs/Stock/M.1788780140.A.5F1.html,"作者BlueBird5566 (賴粉-青鳥56)看板Stock標題[情報] 2498 宏達電 115年8月營收時間Mon Sep 7 19:22:17 2026 標題：2498 宏達電 115年8月營收 來源：公開資訊觀測站 (公司名、網站名) 網址：https://mops.twse.com.tw/mops/web/index (請善用縮網址工具) 內文： 本資料由 (上市公司)宏達電 公司提供 民國115年08月 單位：新台幣仟元 項目 營業收入淨額 本月 246,093 去年同期 266,660 增減金額 -20,567 增減百分比 -7.71 本年累計 1,691,631 去年累計 1,817,432 增減金額 -125,801 增減百分比 -6.92 備註 / 營收變化原因說明 -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.136.164.54 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1788780140.A.5F1.html 推 arnold3 : 怎麼還在虧錢? 09/07 19:22 推 diefis",0.928,0.0277,0.5679
[情報] 2545 皇翔 買國巨380張、聯發科123張,Mon Sep  7 19:33:06 2026,36,4,32,2330,https://www.ptt.cc/bbs/Stock/M.1788780788.A.94F.html,"作者q1a1 (一問一答)看板Stock標題[情報] 2545 皇翔 買國巨380張、聯發科123張時間Mon Sep 7 19:33:06 2026 1. 標題：2545 皇翔 買國巨380張、聯發科123張 2. 來源：公開資訊觀測站 3. 網址：https://mops.twse.com.tw/mops/#/web/home 4. 內文： ---公告取得有價證券--- 1.證券名稱: 國巨股份有限公司 2.交易日期:115/7/2~115/9/7 3.董事會通過日期: 不適用 4.其他核決日期: 核決層級:董事長核決 民國115年9月7日 5.交易數量、每單位價格及交易總金額: 交易數量：380,000股 每股平均價格：新台幣873.12元 交易總金額：新台幣331,786仟元 6.處分利益（或損失）（取得有價證券者不適用）: 不適用 7.與交易標的公司之關係: 無 8.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股 比例及權利受限情形（如質押情形）: 數量：812,000股 金額：844,384仟元 持股比例：0.039% 9.迄目前為止，依「公開發行公司取得或",0.8025,0.0443,0.4992
[情報] 9/7  台股主動ETF買賣超,Mon Sep  7 19:39:32 2026,6,1,5,2330,https://www.ptt.cc/bbs/Stock/M.1788781174.A.BD8.html,"作者truthloser88 (CfdGod)看板Stock標題[情報] 9/7 台股主動ETF買賣超時間Mon Sep 7 19:39:32 2026 1.標題：主動ETF持股買賣超 (9/7) 2.來源：股格精奇 3.網址：https://stoxgauge.com/ 4.內文： 9/7 台股主動ETF買超前十名 代碼 名稱 買超(萬) 變動張數 漲跌幅% 主要來源 2454 聯發科 91,868 193 7.81% 00403A 2303 聯電 71,286 4,985 10.00% 00403A 6510 精測 45,457 131 3.58% 00981A 3037 欣興 28,660 302 5.21% 00400A 2383 台光電 28,025 51 1.48% 00400A 4958 臻鼎-KY 27,806 555 8.21% 00981A 2449 京元電子 25,935 950 4.20% 00403A 3017 奇鋐 17,100 50 - 4.20% 00400A 2481 強茂 15,800 1,000 1.28% 00403A 8046 南電 14,70",0.9632,0.0069,0.5807
[情報] 115年09月07日信用交易統計,Mon Sep  7 21:34:07 2026,23,0,23,"0050,2330",https://www.ptt.cc/bbs/Stock/M.1788788050.A.E6E.html,"作者steward135 (逆風高飛)看板Stock標題[情報] 115年09月07日信用交易統計時間Mon Sep 7 21:34:07 2026 1. 標題：115年09月07日信用交易統計 2. 來源：臺灣證券交易所、證券櫃檯買賣中心 (公司名、網站名) 3. 網址：https://reurl.cc/E2xlzv https://reurl.cc/V3AOXA (請善用縮網址工具) 4. 內文： 115年09月07日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 417,379 357,774 5,297 9,018,943 9,073,251 融券(交易單位) 31,914 24,829 862 219,160 211,213 融資金額(仟元) 39,672,969 33,122,413 173,565 581,894,588 588,271,579 資增 63.76 億 券減 7,947 張 ================================= 00632R元大台灣50反1 資減 172 張 券減 454 張 00685L群",0.9132,0.0318,0.5606
[請益] 投資股票有邏輯可言嗎？,Mon Sep  7 22:23:25 2026,45,2,43,2330,https://www.ptt.cc/bbs/Stock/M.1788791007.A.05D.html,"作者mcuronan (松本)看板Stock標題[請益] 投資股票有邏輯可言嗎？時間Mon Sep 7 22:23:25 2026 之前常聽人說 股票要看基本面 消息面 技術面 但為啥明明有些股票有賺錢 基本面不錯 但就是不會漲 有些股票本益比超高 還是一直漲？ 是不是其實買股票就看外資買什麼 跟著買就對了？ ----- Sent from JPTT on my Samsung SM-A3460. -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 27.247.228.240 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1788791007.A.05D.html → aq : 看你要做短線長線囉 09/07 22:24 → galleon2000 : 問就是低買高賣 09/07 22:24 → UC93 : 當然沒有邏輯阿 有邏輯的話大家都能永動賺錢了 09/07 22:24 → tinybunny : 有鴨 找出適合的鴨 09/07 22:26 推 roder : 邏輯是啥 09/07 22:28 推 XXXXCOW : 合法賭場",0.8913,0.0595,0.5586
[公告] 股票板板規 v4.9,Fri Aug  7 13:54:03 2026,0,0,0,"2330,TSM",https://www.ptt.cc/bbs/Stock/M.1786082047.A.EA9.html,作者BlueBird5566 (賴粉-青鳥56)看板Stock標題[公告] 股票板板規 v4.9時間Fri Aug 7 13:54:03 2026 ─────────────────────────────────────── 股 票 板 板 規 V4.8 2026/06/08 修訂 ─────────────────────────────────────── 1. 發文規範與分類總則 ----------------------------------------------------- 2 2. 股票板板規執法範圍 ------------------------------------------------------17 3. 檢舉及申訴辦法 ----------------------------------------------------------18 4. 違規與處分規範 ----------------------------------------------------------20 5. 分身連坐條款 ------------------------,0.704,0.0,0.4224
[閒聊] 2026/09/07 盤後閒聊,Mon Sep  7 14:00:00 2026,849,126,723,"0050,2330",https://www.ptt.cc/bbs/Stock/M.1788760803.A.3C5.html,"作者laptic (嶼天聖林)看板Stock標題[閒聊] 2026/09/07 盤後閒聊時間Mon Sep 7 14:00:00 2026 台 股 47326.27 ▲775.14 (+1.67%) 9399.26億 台指09 47470 ▲761 (+1.63%) 42,750口 櫃買指 409.33 ▲ 6.85 (+1.70%) 2016.21億 日盤 台指期 自營商 -1,346 投信 -728 外資 +1,344 台指選 自營商 +1,586 投信 -297 外資 +495 上市 漲停家數 (+10%) 11 (聯電、尖點、禾伸堂、偉詮電、大量、台虹、聯友金屬-創、致茂 、統新、國慶科技、兆勁) 跌停家數 (-10%) 3 (大立光、沛爾生醫*-創、健和興) 上櫃 漲停家數 (+10%) 20 跌停家數 (-10%) 1 成交量排行：友達、聯電、主動統一升級50、群益臺灣加權正2、元大台灣50正2 成交值排行：聯發科、台積電、聯電、國巨*、南亞科 資料來源：臺灣證券交易所、臺灣期貨交易所、中央社 -- 晶圓代工漲聲狂，聯電雄風勢莫擋。 千億成交開俏板，欣然喜氣滿台坊。 （此文",0.7873,1.0,0.8724
[情報] 115年09月07日 三大法人買賣金額統計表,Mon Sep  7 15:48:44 2026,156,10,146,2330,https://www.ptt.cc/bbs/Stock/M.1788767327.A.FDB.html,"作者coconing (證 ㄓㄥˋ 券 ㄑㄩㄢˋ)看板Stock標題[情報] 115年09月07日 三大法人買賣金額統計表時間Mon Sep 7 15:48:44 2026 http://www.twse.com.tw/zh/page/trading/fund/BFI82U.html 115年09月07日 三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 156.63 96.91 +59.71 自營商(避險) 413.54 316.39 +97.15 投 信 250.39 151.69 +98.70 外資及陸資 3760.56 2877.48 +883.07 外資自營商 0 0 0 =========================================================== 合 計 4581.14 3442.49 +1138.65 法人成交比重42.68% -- 一頁書：世事如棋，乾坤莫測，笑盡英雄啊～～～ 一夜輸：股市如棋，漲跌莫測，坑盡散戶啊～～～ -- ※ 發信站: 批踢踢實業坊(ptt.cc),",0.8509,0.2019,0.5913
[情報] 外資買超歷史前十名 (今天第四名),Mon Sep  7 15:55:56 2026,58,4,54,2330,https://www.ptt.cc/bbs/Stock/M.1788767758.A.412.html,"作者liaon98 (liaon98)看板Stock標題[情報] 外資買超歷史前十名 (今天第四名)時間Mon Sep 7 15:55:56 2026 標題：外資買超歷史前十名 (今天第四名) 來源：TWSE (公司名、網站名) 網址：http://www.twse.com.tw/zh/page/trading/fund/BFI82U.html (超過一行，請使用縮網址工具，否則4-1處分) 內文： 第○名 日期 外資買超金額(億) 備註 一 2005/12/28 +1252.88 https://i.imgur.com/PBZO4hi.jpg 二 2026/04/08 +1177.72 美伊戰爭停火兩週 三 2026/08/05 +903.08 台股上漲爆大量1.1兆外資狂買 四 2026/09/07 +883.08 台股隔2個月後再次站上47,000點 五 2026/05/29 +803.55 台股再創新高越過44,000點(收盤) 六 2024/01/19 +801.69 台積電外資買超11萬張 七 2026/05/22 +761.36 外資連兩日大買+1364億 八 2026/",0.8759,0.0747,0.5554
