title,date,push,boo,score,url,body
[標的] 2850 新產這個是在漲什麼的?,Sat May 30 01:13:42 2026,12,0,12,https://www.ptt.cc/bbs/Stock/M.1780074825.A.7AF.html,"作者SUPER22K (進擊的勞工)看板Stock標題[標的] 2850 新產這個是在漲什麼的?時間Sat May 30 01:13:42 2026 ---------------------按ctrl+y 可刪除以上內容。---------------------------- 標的：2850 新光產險 分類：討論 分析/正文： 最近觀察到這隻線型蠻不錯的 名字蓋掉還以為是台積電 https://lurl.cc/lnEhO 是金牛股還是最牛的產險 個人巴菲特信徒不買科技股 巴菲特指數要500%原則上挺怕不進場了 但又不想空手~ 新產前天股東會配息7.27元 現今率有破5% 保險股大盤熊的時候又有防禦性質 線型看感覺公司還在走上升趨勢 金融股很少有這種情況高配息又能高成長 有行家看法嗎? -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.194.130.67 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1780074825.A.7AF.html ※ 編輯: SUPER22K (123.194.130.67 臺灣), 05/3"
[標的] 黃金 多,Sat May 30 02:37:59 2026,14,0,14,https://www.ptt.cc/bbs/Stock/M.1780079881.A.7AB.html,"作者JusTKurO (KurO)看板Stock標題[標的] 黃金 多時間Sat May 30 02:37:59 2026 標的：(例 2330.TW 台積電) 黃金 分類：多/空/討論/心得 (請選擇並刪除無關分類) 多 分析/正文： 海期 黃金 以八月為主 昨天和前天的K線沒有掉下去做了兩根下影 今天往上收回 技術型態大約四月中到現在做了一個W 近幾天也做了一個小W 可能有反攻的機會 停損:跌破下面下影線, 找機會往下看有沒有機會降低成本 停利:不預設高點 海期 買了五口微型黃金 單有空再貼 想睡了 進退場機制： (喊多喊空者，必須有停損機制。 長期投資、討論、心得類免填) -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.244.225.27 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1780079881.A.7AB.html → kiwi3741722 : 這波是不是被土耳其跟印度賣下來的@@ 05/30 03:38 推 wettland5566: 現在還有人敢做黃金真的很勇 05/30 05:11 → wettla"
[新聞] 史上最長！中華電信股東會「激戰18.5小,Sat May 30 05:06:14 2026,45,12,33,https://www.ptt.cc/bbs/Stock/M.1780088777.A.20E.html,作者wu73 (地球是個太空艙)看板Stock標題[新聞] 史上最長！中華電信股東會「激戰18.5小時間Sat May 30 05:06:14 2026 原文標題： 史上最長！中華電信股東會「激戰18.5小時」戰到隔天創台股新紀錄 原文連結： https://ai.ettoday.net/amp/amp_news.php7?news_id=3174554 發布時間： 2026年05月30日 03:55 記者署名：蘇晟彥／新北報導 原文內容： 中華電信（2412）股東會29日召開，往年都以「馬拉松」為精神，股東輪流上台炮轟，保 守都是10小時起跳，而今年碰上勞資糾紛，股東放話「開過夜」，而最終開出史上最長股 東會，從29日早上9點開至30日清晨3點28分結束，一共開了18小時28分鐘，創下中華電信 歷年紀錄，最終決議每股配發現金股利5.2元 ▼中華電信股東會再創歷史紀錄，共召開18小時28分鐘。（資料照／記者蘇晟彥攝） https://cdn2.ettoday.net/images/8187/e8187557.jpg 中華電信公司29日上午 9點於板橋電信學院舉行115年股東常會。會議由
[心得] 2026年5月程式單績效,Sat May 30 07:07:01 2026,18,4,14,https://www.ptt.cc/bbs/Stock/M.1780096023.A.0FB.html,作者ted6219 (肥力獅)看板Stock標題[心得] 2026年5月程式單績效時間Sat May 30 07:07:01 2026 2026年5月-本金900萬（平時最高16口小台，如果連輸or 刷單，會按照規劃加碼） PS.近期波動大，900萬只跑2組程式單，拉高風險值 5月雖回歸正常狀況，但波動太大&保證金一直漲 正常900萬能跑三組組合單，改成只跑兩組 反正能賺錢就好，賺多賺少無所謂 另外順手跑了單一策略的三個帳號 賺比較多那個偶爾會加開一口另一個策略 不然賺的錢應該是差不多 群益 +113萬（本金900，如第一段的說明） 帳號A +54萬（本金116，但跑100的加減碼機制，最高3口小台） 帳號B +69萬（本金100，同樣跑100加減碼，但偶爾會搭配另一個策略，最高時開4口小台） 帳號C +12.6萬（本金40，上半月最高開3微台，下半月偶爾會開到1小台） 帳號C打到52萬了，後續的加減碼可以積極點 理論上6月若還有行情，報酬率應該不會輸A、B那麼多了；畢竟有多少錢做多少事，能在市 場上活著比較重要 是說最近都在當打工仔，帳號A+C都是家人的，只是自己跑就順手「無償幫忙」
[新聞] 台股AI熱過頭 央行示警3大金融風險,Sat May 30 08:27:25 2026,95,27,68,https://www.ptt.cc/bbs/Stock/M.1780100849.A.A07.html,作者Ax0101 (Ax)看板Stock標題[新聞] 台股AI熱過頭 央行示警3大金融風險時間Sat May 30 08:27:25 2026 文章標題 請使用 原新聞標題 勿刪減或自創標題，違者4-1處分 原文標題： 台股AI熱過頭 央行示警3大金融風險 原文連結： https://reurl.cc/0m8LWY 發布時間： 2026/05/30 05:30 記者署名： 記者陳梅英／台北報導 原文內容： 〔記者陳梅英／台北報導〕中央銀行昨公布最新第二十期金融穩定報告指出，儘管全球仍 面臨地緣政治衝突、美國貿易政策變動及金融市場波動等不確定因素，但國內整體金融情 勢仍維持穩定；不過，央行此次特別新增AI（人工智慧）相關專欄，提醒市場注意AI產業 快速擴張下潛藏的三大金融風險。 市場資金過度集中AI相關產業 恐加劇股市下行脆弱性 首先，央行指出，市場資金過度集中於AI相關產業，恐加劇股市下行脆弱性。AI投資熱潮 使市場資金明顯集中於少數AI族群，若未來相關企業獲利未如預期，產業過度集中恐放大 單一產業波動對整體市場的衝擊，台股可能面臨較大幅度修正，進一步影響金融穩定。 第二，AI熱潮也加
[標的] 2408南亞科2344華邦電 極度低估多,Sat May 30 08:33:53 2026,54,15,39,https://www.ptt.cc/bbs/Stock/M.1780101236.A.8E7.html,作者suw456123 (Jacky789)看板Stock標題[標的] 2408南亞科2344華邦電 極度低估多時間Sat May 30 08:33:53 2026 標的:2408南亞科2344華邦電 分類：多 正文： 首先來看一下各市場 對於他們自家的記憶體公司所給予的肯定(已換算成台幣市值抓大約) 三星 48.3 兆 SK海力士 40.7 兆 美光 35.75兆 閃迪 8.16 兆 鎧俠 7.34兆 長鑫 6.7 兆 ～ 11.2 兆(即將上市，數字是機構大約估值) 兆易創新 2.33 兆(無自有工廠，華虹代工) 再看看台股記憶體 南亞科 1.1兆 華邦電 0.71兆 其實表列出來就可以看出 台股記憶體目前是被極度嚴重低估的 低到不可思議 是台股一個非常亮眼的窪地 假設就算讓南亞科漲三倍，估值也不過就區區3.3兆 連美光的十分之一都不到 市場有時候會失靈，但終究會還予公道 比起一堆獲利都開不出來的公司 南亞科華邦電有極強的營收與獲利作為股價的證明與保護 DELL最新財報也說下半年會更缺 買家都說會更缺了 那還有甚麼好擔心的? 個人只推薦買進顆粒廠 很重要!! 顆粒廠 如果要去買一些
[新聞] 黃仁勳背板股 臻鼎、可成入列,Sat May 30 08:56:12 2026,25,1,24,https://www.ptt.cc/bbs/Stock/M.1780102574.A.92D.html,作者diefishfish ()看板Stock標題[新聞] 黃仁勳背板股 臻鼎、可成入列時間Sat May 30 08:56:12 2026 黃仁勳背板股 臻鼎、可成入列 https://money.udn.com/money/amp/story/5612/9534530 黃仁勳背板股 臻鼎、可成入列 2026-05-30 00:00 經濟日報 記者吳凱中、籃珮禎／台北報導 輝達（NVIDIA）昨（29）日舉行「NVIDIA AI Factory MGX Ecosystem Ceremony」活動， 亮點是最新「黃仁勳背板供應鏈」。新入列成員中，臻鼎（4958）是業界眾所皆知的輝達 鏈成員，惟過去輝達不曾公開揭露；可成則是正港「新背板概念股」，透露轉型收到成效 ，最讓業界驚艷。 可成入列輝達生態系之後，初期供應機構件、功能件等品項，下半年將顯著貢獻業績，估 2026年AI相關業務比重將占整體營收逾二成，由於AI產品毛利優於可成傳統消費性應用， 將為獲利加分。 可成指出，隨著AI基礎設施朝向更高功率密度、液冷架構與rack-scale（機架規模）部署 發展，將先進系統設計轉化為可靠、易維
[標的] 6770 力積電 主力進場 極限在哪,Sat May 30 10:39:39 2026,30,4,26,https://www.ptt.cc/bbs/Stock/M.1780108782.A.E6A.html,"作者fireflies (ting)看板Stock標題[標的] 6770 力積電 主力進場 極限在哪時間Sat May 30 10:39:39 2026 標的：6770 力積電 分類：討論 主文： 近期力積從5/21 59.2 一路飆到88.7 一路漲了50% https://i.verb.tw/sPpxOFZf.jpg 中間回檔 也沒破五日線 線型相當漂亮 目前搭上美光這個有錢爸爸 再用拖油瓶P5 換美光技術交換打入HBM 是台股目前唯一的HBM概念股 籌碼方面 禮拜五 主力大舉進場 大股東 1000張以上佔比 從39.9%直接噴上51.6% https://i.verb.tw/lwopAcxs.jpg 目前產能各廠滿載 近期力積電四月自結也終於虧轉盈 現在剛好要六月 力積電 真的可以讓大家年底就懂嗎？ 目前持有還持有八張 奈米持有 https://i.verb.tw/5tORjhE8.jpg -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.72.161.228 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.17801087"
[公告] 股票板板規 v4.7 (2024/10/06 修正),Tue Jul  2 06:17:08 2024,0,0,0,https://www.ptt.cc/bbs/Stock/M.1719872231.A.9BA.html,作者rayccccc (阿夸哈私奔)看板Stock標題[公告] 股票板板規 v4.7 (2024/10/06 修正)時間Tue Jul 2 06:17:08 2024 ─────────────────────────────────────── 股 票 板 板 規 V4.7 2024/10/06 修訂 ─────────────────────────────────────── 1. 發文規範與分類總則 ----------------------------------------------------- 2 2. 股票板板規執法範圍 ------------------------------------------------------17 3. 檢舉及申訴辦法 ----------------------------------------------------------18 4. 違規與處分規範 ----------------------------------------------------------20 5. 分身連坐條款 --------------
[閒聊] 2026/05/29 盤後閒聊,Fri May 29 14:00:00 2026,714,83,631,https://www.ptt.cc/bbs/Stock/M.1780034413.A.A59.html,"作者laptic (靜夜聖林彼岸花)看板Stock標題[閒聊] 2026/05/29 盤後閒聊時間Fri May 29 14:00:00 2026 台 股 44732.94 ▲1096.50 (+2.51%) 1兆8164.50億 台指06 45285 ▲1446 (+3.30%) 66,284口 櫃買指 443.64 ▲ 11.16 (+2.58%) 3804.85億 日盤 台指期 自營商 -1,811 投信 +2,159 外資 -3,511 台指選 自營商 +22438 投信 0 外資 +4,856 小台指期 自營商 +1,091 投信 +7 外資 +4,533 上市 漲停家數 (+10%) 42 (宏碁、晟鈦、麗清、台勝科、緯穎、森崴能源、富邦媒、康普、 華碩、彩晶、永擎、茂林-KY、東陽、倉佑、永崴投控、台化、 群創、力積電、精英、鴻海、廣達、新纖、AMAX-KY、堤維西、 宏旭-KY、英業達、首利、華通、鴻名、瀚荃、日成-KY、大億、 日電貿、盟立、強茂、三集瑞-KY、事欣科、虹揚-KY、華邦電、 南茂、緯創、聯友金屬-創) 跌停家數 (-10%) 0 上櫃 漲停家數 (+1"
